filename,mask_frac,psnr_full,psnr_mask,ssim_full,ssim_mask
2209.png,0.3144989013671875,35.688417524166205,30.68228235528869,0.9684982982986853,0.9076322335965376
2217.png,0.2978363037109375,37.044474093421144,31.78819469752813,0.975769171269522,0.9252218754259125
2247.png,0.3865966796875,29.521537951648085,25.395569253765068,0.922809865565271,0.8101499939747163
2263.png,0.6607818603515625,29.99431199666904,28.20377216904991,0.8825929350504986,0.8316664364598675
2275.png,0.377685546875,34.144376114643805,29.91783469164018,0.9594452817698264,0.8999656656994858
2297.png,0.2694244384765625,35.240448694941314,29.552987214505364,0.9613475808496587,0.8673077325946266
2331.png,0.7614593505859375,32.39530919805121,31.214159837985193,0.9294054076825136,0.9146023304885521
2333.png,0.1921844482421875,35.77627101261113,28.624524424547538,0.9589108003387516,0.8077681475226324
2364.png,0.239776611328125,34.79336381626168,28.600655388947224,0.9630968955762427,0.86257129265052
2389.png,0.368133544921875,33.32846221691432,29.04826706800858,0.943893503917033,0.867527279975788
2420.png,0.518524169921875,28.033426186907477,25.214122428121076,0.8582323213860598,0.7471351660687996
2455.png,0.3797454833984375,33.68100030046336,29.480401323850856,0.9691739097983292,0.9261420525111091
2469.png,0.251373291015625,34.90288283519432,28.960232369783974,0.9533956593891381,0.8318518693093523
2485.png,0.1392669677734375,37.522568074496576,29.066430937343384,0.9763348997646796,0.8477703604633552
2523.png,0.1872406005859375,34.73123845777633,27.47933805611312,0.9527534325172077,0.7727144024545642
2533.png,0.364959716796875,35.14458093088953,30.797445257279215,0.9609109763819909,0.9035822655157566
2535.png,0.52984619140625,31.68114167967877,28.931701503395324,0.9474554948276485,0.9100258924986203
2544.png,0.24285888671875,35.7348854078675,29.706834639481844,0.9601813652620218,0.8608703937665287
2559.png,0.2847442626953125,33.18445385226823,27.747999289794535,0.9505427052813912,0.8363615331884986
2568.png,0.309234619140625,35.8148227794905,30.7206239832048,0.9668070766921448,0.9003461767396481
2579.png,0.7593841552734375,29.666453231720908,28.471306014638188,0.9115645654475848,0.8870383465740197
2587.png,0.4799041748046875,33.99627324537133,30.813220260659087,0.9500502338530837,0.9033167470990984
2594.png,0.24310302734375,37.78665275871199,31.671190462405804,0.9668221295956388,0.8792636531434214
2625.png,0.49249267578125,34.02573445363779,30.95819596326286,0.9445275189764475,0.8957596064405131
2626.png,0.29931640625,38.38491222795531,33.19832285434413,0.9747922477124072,0.9277430961089667
2638.png,0.3350677490234375,34.69329611685349,29.964775811966867,0.9579268401801923,0.8861752970502204
2668.png,0.3938140869140625,33.69520312512498,29.649213107502383,0.947876883578243,0.8761468823602883
2679.png,0.3638153076171875,36.40665145951614,32.01769583780895,0.9773951944939578,0.941914560588452
2703.png,0.4381561279296875,33.779639428749114,30.208620146588352,0.9633686531343039,0.9257876539074666
2717.png,0.3856201171875,32.46772297200536,28.391470374825836,0.9443879304062146,0.8773266555712974
2730.png,0.4589996337890625,31.210347583903015,27.834541339897658,0.9439574867525727,0.8876677955846066
2737.png,0.607574462890625,34.7180521761641,32.626198477196596,0.9352559221747532,0.9074257564635259
2751.png,0.3971405029296875,32.77536269492428,28.78511727737488,0.9520563227249066,0.8920931303362711
2801.png,0.3048553466796875,37.7768829731776,32.62867425544839,0.9676288588672085,0.9035599954506597
2852.png,0.440185546875,34.377001287749046,30.931004081335658,0.9584471214723858,0.9165274755635457
2872.png,0.4658355712890625,34.239398228786804,30.930592318080933,0.9535812356191856,0.9067935716878488
2878.png,0.445404052734375,32.33682357766823,28.82501836523181,0.9593304148382098,0.9136833820588157
2894.png,0.4500579833984375,34.22462414564453,30.76623910886994,0.9505030432415825,0.8932905031170695
