sample_id,feature_type,block_index,layer_fraction,is_primary_block,similarity_1e5_to_clean,similarity_render_to_clean,delta_render_over_1e5,different_scene_1e5_to_clean,different_scene_render_to_clean,scene_advantage_1e5,scene_advantage_render,delta_scene_advantage,similarity_1e5_to_render,different_scene_target_sample_id
0380,raw,6,2/4,1,0.694767,0.773325,0.078558,0.595742,0.765944,0.099025,0.007381,-0.091644,0.491884,2868
0380,centered,6,2/4,1,0.713173,0.757687,0.044514,0.625568,0.755233,0.087605,0.002454,-0.085151,0.544059,2868
0380,raw,3,1/4,0,0.737928,0.794809,0.056882,0.671408,0.797514,0.066520,-0.002705,-0.069225,0.581136,2868
0380,centered,3,1/4,0,0.706200,0.828517,0.122317,0.668441,0.821584,0.037759,0.006933,-0.030826,0.602815,2868
0387,raw,6,2/4,1,0.556712,0.728519,0.171808,0.407003,0.751877,0.149708,-0.023357,-0.173065,0.324653,1493
0387,centered,6,2/4,1,0.638245,0.722706,0.084461,0.508452,0.739412,0.129793,-0.016706,-0.146499,0.465130,1493
0387,raw,3,1/4,0,0.651087,0.752784,0.101696,0.557720,0.759657,0.093367,-0.006874,-0.100241,0.473455,1493
0387,centered,3,1/4,0,0.692394,0.790792,0.098398,0.631290,0.789887,0.061105,0.000906,-0.060199,0.595930,1493
0394,raw,6,2/4,1,0.647324,0.826637,0.179312,0.618795,0.644687,0.028529,0.181950,0.153421,0.509303,4132
0394,centered,6,2/4,1,0.685440,0.814166,0.128726,0.599257,0.670128,0.086183,0.144038,0.057855,0.574876,4132
0394,raw,3,1/4,0,0.698691,0.806227,0.107536,0.671583,0.681730,0.027109,0.124498,0.097389,0.574325,4132
0394,centered,3,1/4,0,0.682294,0.838891,0.156596,0.622204,0.734930,0.060090,0.103960,0.043870,0.593195,4132
0406,raw,6,2/4,1,0.644518,0.744517,0.099999,0.508733,0.729216,0.135785,0.015301,-0.120484,0.420396,0073
0406,centered,6,2/4,1,0.684960,0.736910,0.051950,0.564227,0.720442,0.120733,0.016468,-0.104265,0.516515,0073
0406,raw,3,1/4,0,0.691968,0.747986,0.056018,0.621976,0.722128,0.069991,0.025857,-0.044134,0.537269,0073
0406,centered,3,1/4,0,0.695644,0.785707,0.090063,0.636890,0.770406,0.058754,0.015301,-0.043453,0.614169,0073
0486,raw,6,2/4,1,0.382496,0.760358,0.377863,0.312632,0.670843,0.069863,0.089515,0.019652,0.181097,1995
0486,centered,6,2/4,1,0.522159,0.775039,0.252880,0.454962,0.687399,0.067197,0.087639,0.020443,0.433982,1995
0486,raw,3,1/4,0,0.584958,0.725922,0.140964,0.523519,0.675640,0.061439,0.050282,-0.011157,0.393412,1995
0486,centered,3,1/4,0,0.653698,0.781865,0.128167,0.603457,0.727934,0.050241,0.053931,0.003690,0.566883,1995
0503,raw,6,2/4,1,0.421914,0.732360,0.310446,0.346124,0.659562,0.075789,0.072797,-0.002992,0.181917,0631
0503,centered,6,2/4,1,0.547778,0.750254,0.202475,0.479038,0.677145,0.068741,0.073109,0.004368,0.426535,0631
0503,raw,3,1/4,0,0.601566,0.723547,0.121981,0.523865,0.666638,0.077701,0.056909,-0.020792,0.417501,0631
0503,centered,3,1/4,0,0.651609,0.776038,0.124428,0.593520,0.715458,0.058090,0.060580,0.002490,0.568772,0631
0510,raw,6,2/4,1,0.523231,0.762299,0.239069,0.489863,0.628010,0.033368,0.134290,0.100922,0.337746,0503
0510,centered,6,2/4,1,0.591983,0.774454,0.182471,0.554294,0.637251,0.037689,0.137203,0.099514,0.487474,0503
0510,raw,3,1/4,0,0.639128,0.756901,0.117773,0.585645,0.634991,0.053483,0.121910,0.068426,0.469458,0503
0510,centered,3,1/4,0,0.658690,0.803268,0.144579,0.593204,0.698486,0.065485,0.104782,0.039297,0.572307,0503
0519,raw,6,2/4,1,0.601096,0.815961,0.214865,0.571474,0.815185,0.029622,0.000776,-0.028847,0.473115,4387
0519,centered,6,2/4,1,0.657732,0.793723,0.135992,0.633910,0.787127,0.023821,0.006596,-0.017225,0.553061,4387
0519,raw,3,1/4,0,0.682686,0.790673,0.107987,0.655526,0.794419,0.027161,-0.003746,-0.030907,0.554779,4387
0519,centered,3,1/4,0,0.701128,0.812783,0.111654,0.676962,0.812616,0.024166,0.000167,-0.023999,0.597750,4387
0524,raw,6,2/4,1,0.306400,0.793920,0.487520,0.273090,0.776186,0.033311,0.017735,-0.015576,0.146624,1003
0524,centered,6,2/4,1,0.467189,0.789861,0.322673,0.434125,0.767960,0.033064,0.021901,-0.011162,0.383665,1003
0524,raw,3,1/4,0,0.526286,0.793208,0.266923,0.509055,0.786645,0.017231,0.006563,-0.010668,0.402834,1003
0524,centered,3,1/4,0,0.636307,0.831777,0.195470,0.636762,0.816574,-0.000455,0.015203,0.015658,0.579829,1003
0568,raw,6,2/4,1,0.357276,0.682805,0.325529,0.306989,0.680331,0.050286,0.002474,-0.047813,0.138228,3963
0568,centered,6,2/4,1,0.493619,0.691972,0.198353,0.473753,0.660122,0.019866,0.031850,0.011984,0.379351,3963
0568,raw,3,1/4,0,0.530173,0.716035,0.185862,0.490208,0.710730,0.039965,0.005305,-0.034660,0.374110,3963
0568,centered,3,1/4,0,0.608157,0.763634,0.155477,0.600324,0.742539,0.007832,0.021095,0.013262,0.539666,3963
0592,raw,6,2/4,1,0.327090,0.875515,0.548425,0.505253,0.541874,-0.178162,0.333641,0.511803,0.258075,5855
0592,centered,6,2/4,1,0.471030,0.850432,0.379402,0.564000,0.569044,-0.092970,0.281388,0.374358,0.448665,5855
0592,raw,3,1/4,0,0.536332,0.831756,0.295424,0.596625,0.569411,-0.060292,0.262345,0.322637,0.440766,5855
0592,centered,3,1/4,0,0.652025,0.844187,0.192162,0.600762,0.651214,0.051262,0.192973,0.141711,0.586453,5855
0593,raw,6,2/4,1,0.362729,0.733297,0.370568,0.264823,0.637785,0.097907,0.095512,-0.002395,0.152667,1227
0593,centered,6,2/4,1,0.504367,0.745905,0.241537,0.440744,0.617514,0.063624,0.128391,0.064767,0.391194,1227
0593,raw,3,1/4,0,0.571261,0.734585,0.163324,0.476999,0.676764,0.094262,0.057821,-0.036441,0.412752,1227
0593,centered,3,1/4,0,0.652779,0.787652,0.134873,0.605792,0.719290,0.046987,0.068362,0.021375,0.573090,1227
0631,raw,6,2/4,1,0.339685,0.734849,0.395164,0.247186,0.750932,0.092499,-0.016083,-0.108582,0.140678,2055
0631,centered,6,2/4,1,0.495640,0.765653,0.270012,0.426224,0.749518,0.069417,0.016134,-0.053282,0.417716,2055
0631,raw,3,1/4,0,0.526361,0.735219,0.208858,0.464924,0.740977,0.061437,-0.005758,-0.067195,0.376585,2055
0631,centered,3,1/4,0,0.629701,0.781501,0.151800,0.597996,0.774459,0.031705,0.007042,-0.024663,0.554942,2055
0681,raw,6,2/4,1,0.600216,0.880526,0.280310,0.539345,0.689548,0.060871,0.190978,0.130107,0.541458,6639
0681,centered,6,2/4,1,0.639659,0.855513,0.215854,0.557727,0.671558,0.081932,0.183954,0.102022,0.581466,6639
0681,raw,3,1/4,0,0.677189,0.848434,0.171246,0.604175,0.680056,0.073014,0.168378,0.095365,0.609256,6639
0681,centered,3,1/4,0,0.704126,0.852226,0.148100,0.594013,0.712577,0.110113,0.139649,0.029536,0.601032,6639
0683,raw,6,2/4,1,0.614242,0.840556,0.226314,0.546623,0.784407,0.067619,0.056149,-0.011469,0.469954,3428
0683,centered,6,2/4,1,0.668013,0.811115,0.143102,0.580745,0.783049,0.087269,0.028066,-0.059203,0.537899,3428
0683,raw,3,1/4,0,0.684141,0.811765,0.127623,0.627617,0.771463,0.056525,0.040301,-0.016223,0.540347,3428
0683,centered,3,1/4,0,0.687328,0.833694,0.146366,0.621058,0.809312,0.066270,0.024382,-0.041888,0.586942,3428
0687,raw,6,2/4,1,0.457554,0.743870,0.286315,0.316992,0.787038,0.140563,-0.043168,-0.183731,0.245599,3819
0687,centered,6,2/4,1,0.564534,0.749112,0.184578,0.459494,0.748627,0.105040,0.000485,-0.104556,0.427250,3819
0687,raw,3,1/4,0,0.603183,0.749808,0.146626,0.535168,0.768718,0.068015,-0.018910,-0.086925,0.442685,3819
0687,centered,3,1/4,0,0.650063,0.793099,0.143036,0.633505,0.786444,0.016557,0.006655,-0.009902,0.566318,3819
0704,raw,6,2/4,1,0.706776,0.864483,0.157708,0.626989,0.794768,0.079787,0.069715,-0.010072,0.585919,3498
0704,centered,6,2/4,1,0.726637,0.830381,0.103744,0.636359,0.775086,0.090278,0.055295,-0.034983,0.601790,3498
0704,raw,3,1/4,0,0.728305,0.848996,0.120692,0.682445,0.770024,0.045860,0.078972,0.033112,0.635515,3498
0704,centered,3,1/4,0,0.714987,0.849977,0.134991,0.648517,0.787410,0.066470,0.062567,-0.003903,0.616432,3498
0721,raw,6,2/4,1,0.285929,0.814553,0.528624,0.365094,0.670093,-0.079165,0.144459,0.223625,0.192063,4787
0721,centered,6,2/4,1,0.441477,0.795198,0.353721,0.507507,0.675872,-0.066030,0.119326,0.185356,0.420787,4787
0721,raw,3,1/4,0,0.485452,0.804279,0.318828,0.547425,0.701650,-0.061973,0.102629,0.164602,0.421211,4787
0721,centered,3,1/4,0,0.628003,0.824517,0.196514,0.639277,0.752697,-0.011274,0.071820,0.083094,0.579261,4787
0726,raw,6,2/4,1,0.548280,0.820675,0.272395,0.569849,0.731666,-0.021569,0.089010,0.110579,0.396305,2350
0726,centered,6,2/4,1,0.614581,0.815109,0.200528,0.634226,0.719856,-0.019644,0.095253,0.114898,0.500330,2350
0726,raw,3,1/4,0,0.656595,0.826061,0.169466,0.651293,0.737945,0.005301,0.088116,0.082815,0.527823,2350
0726,centered,3,1/4,0,0.685109,0.851791,0.166682,0.668953,0.768739,0.016156,0.083051,0.066895,0.591620,2350
0729,raw,6,2/4,1,0.478708,0.823082,0.344374,0.481089,0.790731,-0.002382,0.032351,0.034733,0.376548,0232
0729,centered,6,2/4,1,0.574968,0.809746,0.234778,0.568335,0.774570,0.006633,0.035176,0.028543,0.489620,0232
0729,raw,3,1/4,0,0.613638,0.811122,0.197484,0.601506,0.795235,0.012133,0.015887,0.003754,0.523274,0232
0729,centered,3,1/4,0,0.678084,0.840059,0.161974,0.655496,0.825110,0.022588,0.014948,-0.007640,0.599949,0232
0731,raw,6,2/4,1,0.776467,0.782316,0.005850,0.723396,0.761121,0.053070,0.021196,-0.031875,0.578625,3861
0731,centered,6,2/4,1,0.763703,0.764014,0.000310,0.711918,0.748480,0.051785,0.015534,-0.036252,0.568415,3861
0731,raw,3,1/4,0,0.802579,0.798026,-0.004553,0.760369,0.764744,0.042210,0.033282,-0.008928,0.641170,3861
0731,centered,3,1/4,0,0.744217,0.824497,0.080280,0.698770,0.800003,0.045447,0.024494,-0.020953,0.611586,3861
0774,raw,6,2/4,1,0.500663,0.830774,0.330111,0.411579,0.777591,0.089084,0.053182,-0.035902,0.334641,4589
0774,centered,6,2/4,1,0.592784,0.810317,0.217533,0.509645,0.756304,0.083138,0.054013,-0.029126,0.469714,4589
0774,raw,3,1/4,0,0.630656,0.816327,0.185671,0.568223,0.744215,0.062433,0.072112,0.009679,0.504711,4589
0774,centered,3,1/4,0,0.677848,0.837023,0.159176,0.616727,0.775536,0.061121,0.061487,0.000367,0.604460,4589
0777,raw,6,2/4,1,0.688686,0.866757,0.178071,0.660381,0.643363,0.028305,0.223394,0.195089,0.635725,0902
0777,centered,6,2/4,1,0.698731,0.845412,0.146681,0.602299,0.659399,0.096432,0.186014,0.089582,0.629969,0902
0777,raw,3,1/4,0,0.760749,0.846480,0.085731,0.710087,0.646700,0.050662,0.199781,0.149119,0.678521,0902
0777,centered,3,1/4,0,0.723687,0.853134,0.129446,0.594553,0.709400,0.129134,0.143734,0.014600,0.593176,0902
0785,raw,6,2/4,1,0.647354,0.719601,0.072247,0.572729,0.732819,0.074625,-0.013218,-0.087843,0.388656,6521
0785,centered,6,2/4,1,0.683603,0.715027,0.031423,0.643672,0.706735,0.039931,0.008292,-0.031639,0.479725,6521
0785,raw,3,1/4,0,0.715641,0.745891,0.030250,0.668347,0.756224,0.047294,-0.010333,-0.057627,0.523781,6521
0785,centered,3,1/4,0,0.703460,0.788471,0.085012,0.681576,0.783846,0.021883,0.004625,-0.017258,0.592147,6521
0789,raw,6,2/4,1,0.744493,0.773438,0.028945,0.627977,0.730396,0.116516,0.043042,-0.073475,0.547078,3026
0789,centered,6,2/4,1,0.740647,0.755660,0.015013,0.625504,0.720728,0.115143,0.034932,-0.080210,0.567613,3026
